,description,question,choices,answer
254,A lone black silhouette against a vibrant sunset.,"['is this a silhouette?', 'what type of object is this?', 'is this a sunset?', 'what type of place is this?', 'is the silhouette black?', 'what color is the silhouette?', 'is the silhouette lone?', 'is the sunset vibrant?', 'is the sunset vibrant or dull?']","[['yes', 'no'], ['silhouette', 'shadow', 'outline', 'shape'], ['yes', 'no'], ['sunset', 'sunrise', 'noon', 'midnight'], ['yes', 'no'], ['black', 'white', 'red', 'blue'], ['yes', 'no'], ['yes', 'no'], ['vibrant', 'dull', 'bright', 'dim']]","['yes', 'silhouette', 'yes', 'sunset', 'yes', 'black', 'yes', 'yes', 'vibrant']"
255,Concentric emerald and gold rings.,"['are there rings?', 'what type of jewelry is this?', 'are the rings emerald and gold?', 'what color are the rings?', 'are the rings concentric?', 'are the rings concentric or radial?']","[['yes', 'no'], ['rings', 'necklaces', 'earrings', 'bracelets'], ['yes', 'no'], ['emerald and gold', 'silver and red', 'blue and white', 'red and blue'], ['yes', 'no'], ['concentric', 'radial', 'spiral', 'curved']]","['yes', 'rings', 'yes', 'emerald and gold', 'yes', 'concentric']"
256,gradient from sky blue to deep indigo,"['is the sky blue?', 'what color is this?', 'is the sky deep indigo?', 'what color is this?', 'is this a gradient?']","[['yes', 'no'], ['sky blue', 'deep indigo', 'red', 'green'], ['yes', 'no'], ['sky blue', 'deep indigo', 'red', 'green'], ['yes', 'no']]","['yes', 'sky blue', 'yes', 'deep indigo', 'yes']"
257,An antique brass telescope on a wooden tripod.,"['is this a telescope?', 'what type of instrument is this?', 'is this a tripod?', 'what type of stand is this?', 'is the telescope brass?', 'what color is the telescope?', 'is the telescope antique?', 'is the telescope antique or modern?', 'is the tripod wooden?', 'what is the material of the tripod?']","[['yes', 'no'], ['telescope', 'microscope', 'binoculars', 'camera'], ['yes', 'no'], ['tripod', 'stool', 'chair', 'table'], ['yes', 'no'], ['brass', 'silver', 'gold', 'copper'], ['yes', 'no'], ['antique', 'modern', 'old', 'new'], ['yes', 'no'], ['wooden', 'metal', 'plastic', 'glass']]","['yes', 'telescope', 'yes', 'tripod', 'yes', 'brass', 'yes', 'antique', 'yes', 'wooden']"
258,a pile of shimmering silver coins,"['are there coins?', 'what type of object is this?', 'is there a pile of coins?', 'are the coins silver?', 'what color are the coins?', 'are the coins shimmering?', 'are the coins shimmering or dull?']","[['yes', 'no'], ['coins', 'bills', 'notes', 'tokens'], ['yes', 'no'], ['yes', 'no'], ['silver', 'gold', 'bronze', 'copper'], ['yes', 'no'], ['shimmering', 'dull', 'bright', 'dark']]","['yes', 'coins', 'yes', 'yes', 'silver', 'yes', 'shimmering']"
259,A gradient from red to orange filling a square.,"['is there a gradient?', 'what type of object is this?', 'is the square a square?', 'what shape is the square?', 'is the gradient filling the square?', 'is the gradient red?', 'what color is the gradient?', 'is the gradient orange?', 'what color is the gradient?']","[['yes', 'no'], ['gradient', 'pattern', 'texture', 'design'], ['yes', 'no'], ['square', 'circle', 'triangle', 'rectangle'], ['yes', 'no'], ['yes', 'no'], ['red', 'blue', 'yellow', 'green'], ['yes', 'no'], ['orange', 'blue', 'yellow', 'green']]","['yes', 'gradient', 'yes', 'square', 'yes', 'yes', 'red', 'yes', 'orange']"
260,teal hexagons arranged in a honeycomb pattern,"['are there hexagons?', 'what shape is this?', 'is there a honeycomb pattern?', 'what type of pattern is this?', 'are the hexagons arranged?', 'are the hexagons teal?', 'what color are the hexagons?']","[['yes', 'no'], ['hexagons', 'squares', 'circles', 'triangles'], ['yes', 'no'], ['honeycomb pattern', 'stripes', 'dots', 'lines'], ['yes', 'no'], ['yes', 'no'], ['teal', 'red', 'blue', 'green']]","['yes', 'hexagons', 'yes', 'honeycomb pattern', 'yes', 'yes', 'teal']"
261,Gold spheres arranged in a helix over a black void,"['are there spheres?', 'what type of object is this?', 'is there a helix?', 'what type of object is this?', 'is there a void?', 'what type of place is this?', 'are the spheres arranged in a helix?', 'are the spheres gold?', 'what color are the spheres?', 'is the void black?', 'what color is the void?', 'are the spheres over the void?']","[['yes', 'no'], ['spheres', 'cubes', 'cylinders', 'cones'], ['yes', 'no'], ['helix', 'spiral', 'circle', 'square'], ['yes', 'no'], ['void', 'park', 'forest', 'mountain'], ['yes', 'no'], ['yes', 'no'], ['gold', 'silver', 'bronze', 'copper'], ['yes', 'no'], ['black', 'white', 'red', 'blue'], ['yes', 'no']]","['yes', 'spheres', 'yes', 'helix', 'yes', 'void', 'yes', 'yes', 'gold', 'yes', 'black', 'yes']"
262,a striped t-shirt with short sleeves,"['is this a t-shirt?', 'what type of clothing is this?', 'are there sleeves?', 'what is on the t-shirt?', 'is the t-shirt striped?', 'what color is the t-shirt?', 'are the sleeves short?', 'are the sleeves short or long?']","[['yes', 'no'], ['t-shirt', 'jacket', 'pants', 'dress'], ['yes', 'no'], ['sleeves', 'collar', 'buttons', 'pockets'], ['yes', 'no'], ['striped', 'solid', 'patterned', 'plain'], ['yes', 'no'], ['short', 'long', 'medium', 'tall']]","['yes', 't-shirt', 'yes', 'sleeves', 'yes', 'striped', 'yes', 'short']"
263,Green triangles arranged in a repeating fractal pattern,"['are there triangles?', 'what shape is this?', 'is there a fractal pattern?', 'what is this?', 'are the triangles arranged in a repeating fractal pattern?', 'are the triangles green?', 'what color are the triangles?', 'is this a repeating fractal pattern?', 'is this a repeating or a random fractal pattern?']","[['yes', 'no'], ['triangles', 'squares', 'circles', 'rectangles'], ['yes', 'no'], ['fractal pattern', 'wave pattern', 'checkerboard pattern', 'striped pattern'], ['yes', 'no'], ['yes', 'no'], ['green', 'red', 'blue', 'yellow'], ['yes', 'no'], ['repeating', 'random', 'ordered', 'chaotic']]","['yes', 'triangles', 'yes', 'fractal pattern', 'yes', 'yes', 'green', 'yes', 'repeating']"
264,Overlapping translucent circles in shades of purple and gold.,"['are there circles?', 'what shape is this object?', 'are there shades of purple and gold?', 'what is the object?', 'are there shades of purple?', 'what color is the shade?', 'are there shades of gold?', 'what color is the shade?', 'are the circles overlapping?', 'are the circles overlapping or touching?', 'are the circles translucent?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['shades', 'colors', 'patterns', 'textures'], ['yes', 'no'], ['purple', 'black', 'red', 'blue'], ['yes', 'no'], ['gold', 'silver', 'bronze', 'copper'], ['yes', 'no'], ['overlapping', 'touching', 'separating', 'intersecting'], ['yes', 'no']]","['yes', 'circles', 'yes', 'shades', 'yes', 'purple', 'yes', 'gold', 'yes', 'overlapping', 'yes']"
265,A silver robot standing still.,"['is this a robot?', 'what type of object is this?', 'is the robot standing still?', 'what is the robot doing?', 'is the robot silver?', 'what color is the robot?']","[['yes', 'no'], ['robot', 'computer', 'animal', 'human'], ['yes', 'no'], ['standing still', 'walking', 'running', 'jumping'], ['yes', 'no'], ['silver', 'gold', 'bronze', 'copper']]","['yes', 'robot', 'yes', 'standing still', 'yes', 'silver']"
266,Interlocking silver gears on a brass background,"['are there gears on a brass background?', 'what type of object is this?', 'is there a brass background?', 'what type of background is this?', 'are the gears silver?', 'what color are the gears?', 'are the gears interlocking?', 'are the gears interlocking or non-interlocking?']","[['yes', 'no'], ['gears', 'wheels', 'cogs', 'belts'], ['yes', 'no'], ['brass background', 'gold background', 'silver background', 'copper background'], ['yes', 'no'], ['silver', 'gold', 'copper', 'bronze'], ['yes', 'no'], ['interlocking', 'non-interlocking', 'intertwingling', 'interwoven']]","['yes', 'gears', 'yes', 'brass background', 'yes', 'silver', 'yes', 'interlocking']"
267,a wooden bridge over a calm river,"['is this a bridge?', 'what type of structure is this?', 'is this a river?', 'what type of place is this?', 'is the bridge wooden?', 'what is the material of the bridge?', 'is the river calm?', 'is the river calm or rough?']","[['yes', 'no'], ['bridge', 'building', 'tower', 'roof'], ['yes', 'no'], ['river', 'lake', 'ocean', 'pond'], ['yes', 'no'], ['wooden', 'metal', 'plastic', 'glass'], ['yes', 'no'], ['calm', 'rough', 'fast', 'slow']]","['yes', 'bridge', 'yes', 'river', 'yes', 'wooden', 'yes', 'calm']"
268,A tiled pattern of interlocking sapphire and emerald hexagons.,"['is this a pattern?', 'what type of object is this?', 'is this a tiled pattern?', 'is this a tiled or a painted pattern?', 'are there hexagons?', 'what shapes are in the pattern?', 'are the hexagons interlocking?', 'are the hexagons sapphire?', 'what color are the hexagons?', 'are the hexagons emerald?', 'what color are the hexagons?']","[['yes', 'no'], ['pattern', 'shape', 'design', 'figure'], ['yes', 'no'], ['tiled', 'painted', 'drawn', 'sculpted'], ['yes', 'no'], ['hexagons', 'squares', 'circles', 'triangles'], ['yes', 'no'], ['yes', 'no'], ['sapphire', 'emerald', 'ruby', 'diamond'], ['yes', 'no'], ['emerald', 'sapphire', 'ruby', 'diamond']]","['yes', 'pattern', 'yes', 'tiled', 'yes', 'hexagons', 'yes', 'yes', 'sapphire', 'yes', 'emerald']"
269,A red leather wallet with multiple card slots.,"['is this a wallet?', 'what type of object is this?', 'are there card slots?', 'what type of slots are there?', 'is the wallet red?', 'what color is the wallet?', 'are there multiple card slots?', 'is the wallet leather?', 'what is the material of the wallet?']","[['yes', 'no'], ['wallet', 'purse', 'pocket', 'bag'], ['yes', 'no'], ['card slots', 'money slots', 'coin slots', 'key slots'], ['yes', 'no'], ['red', 'black', 'white', 'yellow'], ['yes', 'no'], ['yes', 'no'], ['leather', 'plastic', 'metal', 'wood']]","['yes', 'wallet', 'yes', 'card slots', 'yes', 'red', 'yes', 'yes', 'leather']"
270,A swirling pattern of magenta and cyan lines.,"['is this a swirling pattern?', 'is this a swirling pattern or a straight line?', 'are the lines magenta?', 'what color are the lines?', 'are the lines cyan?', 'what color are the lines?']","[['yes', 'no'], ['swirling pattern', 'straight line', 'wavy line', 'zigzag line'], ['yes', 'no'], ['magenta', 'red', 'blue', 'green'], ['yes', 'no'], ['cyan', 'red', 'blue', 'green']]","['yes', 'swirling pattern', 'yes', 'magenta', 'yes', 'cyan']"
271,A patchwork quilt of various fabric textures.,"['is this a patchwork quilt?', 'what type of object is this?', 'is there fabric?', 'what type of object is this?', 'is the patchwork quilt various?', 'is the patchwork quilt various or similar?', 'is there various fabric textures?', 'are there various textures or colors?']","[['yes', 'no'], ['patchwork quilt', 'blanket', 'sheet', 'pillow'], ['yes', 'no'], ['fabric', 'wood', 'metal', 'plastic'], ['yes', 'no'], ['various', 'similar', 'identical', 'different'], ['yes', 'no'], ['textures', 'colors', 'patterns', 'shapes']]","['yes', 'patchwork quilt', 'yes', 'fabric', 'yes', 'various', 'yes', 'textures']"
272,cyan metallic hexagons scattered across a black background,"['are there hexagons?', 'what shape are the objects?', 'is there a background?', 'what is the color of the background?', 'are the hexagons scattered?', 'are the hexagons metallic?', 'what color are the hexagons?', 'are the hexagons cyan?', 'what color are the hexagons?']","[['yes', 'no'], ['hexagons', 'squares', 'circles', 'triangles'], ['yes', 'no'], ['black', 'white', 'red', 'blue'], ['yes', 'no'], ['yes', 'no'], ['metallic', 'black', 'white', 'red'], ['yes', 'no'], ['cyan', 'black', 'white', 'red']]","['yes', 'hexagons', 'yes', 'black', 'yes', 'yes', 'metallic', 'yes', 'cyan']"
273,a foggy morning over a still lake with distant trees,"['is this a foggy morning?', 'what type of weather is this?', 'is this a morning?', 'what time of day is this?', 'is this a lake?', 'what type of place is this?', 'are there trees?', 'what type of plant is this?', 'are the trees distant?', 'are the trees distant or close?', 'is the lake still?', 'is the lake still or moving?']","[['yes', 'no'], ['foggy', 'rainy', 'snowy', 'sunny'], ['yes', 'no'], ['morning', 'afternoon', 'evening', 'night'], ['yes', 'no'], ['lake', 'river', 'ocean', 'pond'], ['yes', 'no'], ['trees', 'flowers', 'bushes', 'grass'], ['yes', 'no'], ['distant', 'close', 'far away', 'near'], ['yes', 'no'], ['still', 'moving', 'rippling', 'flowing']]","['yes', 'foggy', 'yes', 'morning', 'yes', 'lake', 'yes', 'trees', 'yes', 'distant', 'yes', 'still']"
274,Jagged green triangles depicting a pine forest silhouette against a gradient sky,"['are there jagged green triangles?', 'what type of shape is this?', 'is this a pine forest?', 'what type of place is this?', 'is this a sky?', 'what type of place is this?', 'are the jagged green triangles depicting a pine forest?', 'are the jagged green triangles green?', 'what color are the jagged green triangles?', 'are the jagged green triangles jagged?']","[['yes', 'no'], ['jagged green triangles', 'smooth green triangles', 'jagged red triangles', 'smooth red triangles'], ['yes', 'no'], ['pine forest', 'park', 'beach', 'mountain'], ['yes', 'no'], ['sky', 'ocean', 'lake', 'river'], ['yes', 'no'], ['yes', 'no'], ['green', 'red', 'blue', 'yellow'], ['yes', 'no']]","['yes', 'jagged green triangles', 'yes', 'pine forest', 'yes', 'sky', 'yes', 'yes', 'green', 'yes']"
275,Three interlocking silver rings.,"['are there rings?', 'what type of jewelry is this?', 'are the rings silver?', 'what color are the rings?', 'are there three rings?', 'how many rings are there?', 'are the rings interlocking?']","[['yes', 'no'], ['rings', 'earrings', 'necklaces', 'bracelets'], ['yes', 'no'], ['silver', 'gold', 'bronze', 'copper'], ['yes', 'no'], ['1', '2', '3', '4'], ['yes', 'no']]","['yes', 'rings', 'yes', 'silver', 'yes', '3', 'yes']"
276,A winding path through a dense forest.,"['is this a path?', 'what type of place is this?', 'is this a forest?', 'what type of place is this?', 'is the path winding?', 'what is the path doing?', 'is the forest dense?', 'is the forest dense or sparse?']","[['yes', 'no'], ['path', 'road', 'highway', 'street'], ['yes', 'no'], ['forest', 'park', 'mountain', 'desert'], ['yes', 'no'], ['winding', 'straight', 'curved', 'looping'], ['yes', 'no'], ['dense', 'sparse', 'thick', 'thin']]","['yes', 'path', 'yes', 'forest', 'yes', 'winding', 'yes', 'dense']"
277,a green square with a smaller yellow circle inside,"['is this a square?', 'what shape is this?', 'is there a circle inside the square?', 'what shape is inside the square?', 'is the square green?', 'what color is the square?', 'is the circle yellow?', 'what color is the circle?', 'is the circle smaller?', 'is the circle smaller or larger than the square?']","[['yes', 'no'], ['square', 'circle', 'triangle', 'rectangle'], ['yes', 'no'], ['circle', 'square', 'triangle', 'rectangle'], ['yes', 'no'], ['green', 'red', 'blue', 'yellow'], ['yes', 'no'], ['yellow', 'red', 'blue', 'green'], ['yes', 'no'], ['smaller', 'larger', 'same size', 'different size']]","['yes', 'square', 'yes', 'circle', 'yes', 'green', 'yes', 'yellow', 'yes', 'smaller']"
278,overlapping violet waves and orange dots,"['are there waves?', 'what type of object is this?', 'are there dots?', 'what type of object is this?', 'are the waves overlapping the dots?', 'are the waves violet?', 'what color are the waves?', 'are the dots orange?', 'what color are the dots?']","[['yes', 'no'], ['waves', 'clouds', 'mountains', 'trees'], ['yes', 'no'], ['dots', 'circles', 'squares', 'triangles'], ['yes', 'no'], ['yes', 'no'], ['violet', 'red', 'blue', 'green'], ['yes', 'no'], ['orange', 'red', 'yellow', 'green']]","['yes', 'waves', 'yes', 'dots', 'yes', 'yes', 'violet', 'yes', 'orange']"
279,teal hexagons tiling a silver sphere,"['are there hexagons?', 'what shape is this?', 'is there a sphere?', 'what shape is this?', 'are the hexagons tilting the sphere?', 'what is the hexagons doing?', 'are the hexagons teal?', 'what color are the hexagons?', 'is the sphere silver?', 'what color is the sphere?']","[['yes', 'no'], ['hexagons', 'circles', 'squares', 'triangles'], ['yes', 'no'], ['sphere', 'cube', 'cylinder', 'cone'], ['yes', 'no'], ['tilting', 'rolling', 'sliding', 'rotating'], ['yes', 'no'], ['teal', 'red', 'yellow', 'blue'], ['yes', 'no'], ['silver', 'gold', 'bronze', 'copper']]","['yes', 'hexagons', 'yes', 'sphere', 'yes', 'tilting', 'yes', 'teal', 'yes', 'silver']"
